id,slug,name,kind,body_type,role,office,jurisdiction,country,term_start,term_end,official_url,wikidata_qid,unknowns,pub_state,published_at,reviewed_on,next_review_on,revision,created_at,updated_at
16,pam-bondi,Pam Bondi,person,,Attorney General of the United States,,US,US,,,,,,published,2026-09-22T20:00:24Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:23Z,2026-09-22T21:26:01Z
17,us-department-of-justice,United States Department of Justice,body,agency,Federal executive department,,US,US,,,,,,published,2026-09-22T20:00:26Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:25Z,2026-09-22T21:26:02Z
18,kari-lake,Kari Lake,person,,"Senior Advisor, U.S. Agency for Global Media",,US,US,,,,,,published,2026-09-22T20:00:27Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:26Z,2026-09-22T21:26:04Z
19,us-agency-for-global-media,U.S. Agency for Global Media,body,agency,Federal agency overseeing Voice of America,,US,US,,,,,,published,2026-09-22T20:00:29Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:28Z,2026-09-22T21:26:06Z
20,louisiana-legislature,Louisiana Legislature,body,legislature,State legislature,,US-LA,US,,,,,,published,2026-09-22T20:00:30Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:29Z,2026-09-22T21:26:07Z
21,john-w-degravelles,John W. deGravelles,body,court,"Judge, U.S. District Court for the Middle District of Louisiana",,US-LA,US,,,,,,published,2026-09-22T20:00:32Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:31Z,2026-09-22T21:26:09Z
22,ron-desantis,Ron DeSantis,person,,Governor of Florida,,US-FL,US,,,,,,published,2026-09-22T20:00:33Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:32Z,2026-09-22T21:26:11Z
23,richard-nixon,Richard Nixon,person,,President of the United States (1969-1974),,US,US,,,,,,published,2026-09-22T20:00:35Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:34Z,2026-09-22T21:26:12Z
24,charles-colson,Charles Colson,person,,Special Counsel to the President (Nixon administration),,US,US,,,,,,published,2026-09-22T20:00:46Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:45Z,2026-09-22T21:26:14Z
25,barack-obama,Barack Obama,person,,President of the United States (2009-2017),,US,US,,,,,,published,2026-09-22T20:00:47Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:46Z,2026-09-22T21:26:15Z
26,viktor-orban,Viktor Orban,person,,Prime Minister of Hungary (through 2026),,HU,HU,,,,,,published,2026-09-22T20:00:49Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:48Z,2026-09-22T21:26:17Z
27,hungarian-national-assembly,National Assembly of Hungary,body,legislature,National legislature,,HU,HU,,,,,,published,2026-09-22T20:00:50Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:50Z,2026-09-22T21:26:18Z
28,adani-group,Adani Group,body,other,Private conglomerate; complainant in defamation proceedings against a journalist,,IN,IN,,,,,,published,2026-09-22T20:00:58Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:57Z,2026-09-22T21:26:20Z
29,government-of-israel,Government of Israel,body,other,National government,,IL,IL,,,,,,published,2026-09-22T20:01:00Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:59Z,2026-09-22T21:26:21Z
30,state-duma,State Duma of Russia,body,legislature,Lower house of the Federal Assembly of Russia,,RU,RU,,,,,,published,2026-09-22T20:01:01Z,2026-09-22,2026-12-22,8,2026-09-22T20:01:00Z,2026-09-22T21:26:23Z
31,vladimir-putin,Vladimir Putin,person,,President of Russia,,RU,RU,,,,,,published,2026-09-22T20:01:03Z,2026-09-22,2026-12-22,8,2026-09-22T20:01:02Z,2026-09-22T21:26:24Z
32,nayib-bukele,Nayib Bukele,person,,President of El Salvador,,SV,SV,,,,,,published,2026-09-22T20:01:04Z,2026-09-22,2026-12-22,8,2026-09-22T20:01:04Z,2026-09-22T21:26:25Z
33,hong-kong-department-of-justice,Hong Kong Department of Justice,body,agency,"Prosecuting authority, Hong Kong Special Administrative Region",,HK,HK,,,,,,published,2026-09-22T20:01:06Z,2026-09-22,2026-12-22,8,2026-09-22T20:01:05Z,2026-09-22T21:26:27Z
34,government-of-turkiye,Government of Turkiye,body,other,National government,,TR,TR,,,,,,published,2026-09-22T20:01:11Z,2026-09-22,2026-12-22,8,2026-09-22T20:01:10Z,2026-09-22T21:26:29Z
35,congress-of-the-united-states,United States Congress,body,legislature,Federal legislature,,US,US,,,,,,published,2026-09-22T20:01:12Z,2026-09-22,2026-12-22,8,2026-09-22T20:01:11Z,2026-09-22T21:26:30Z
36,jeff-landry,Jeff Landry,person,,Governor of Louisiana,,US-LA,US,,,,,,published,2026-09-22T22:29:59Z,2026-09-22,2026-12-22,1,2026-09-22T22:29:58Z,2026-09-22T22:29:59Z
37,narendra-modi,Narendra Modi,person,,Prime Minister of India,,IN,IN,,,,,,published,2026-09-22T22:30:01Z,2026-09-22,2026-12-22,1,2026-09-22T22:30:00Z,2026-09-22T22:30:01Z
38,recep-tayyip-erdogan,Recep Tayyip Erdoğan,person,,President of Türkiye,,TR,TR,,,,,,published,2026-09-22T22:30:02Z,2026-09-22,2026-12-22,1,2026-09-22T22:30:01Z,2026-09-22T22:30:02Z
39,john-lee,John Lee,person,,Chief Executive of Hong Kong (from July 2022),,HK,HK,,,,,,published,2026-09-22T22:30:04Z,2026-09-22,2026-12-22,1,2026-09-22T22:30:03Z,2026-09-22T22:30:04Z
40,woodrow-wilson,Woodrow Wilson,person,,President of the United States,,US,US,,,,,,published,2026-09-22T22:52:58Z,2026-09-22,2026-12-22,1,2026-09-22T22:52:57Z,2026-09-22T22:52:58Z
41,thomas-patten,Thomas G. Patten,person,,Postmaster of New York City,,US,US,,,,,,published,2026-09-22T22:52:59Z,2026-09-22,2026-12-22,1,2026-09-22T22:52:58Z,2026-09-22T22:52:59Z
42,learned-hand,Learned Hand,person,,"Judge, United States District Court for the Southern District of New York",,US,US,,,,,,published,2026-09-22T22:53:00Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:00Z,2026-09-22T22:53:00Z
43,albert-burleson,Albert S. Burleson,person,,United States Postmaster General,,US,US,,,,,,published,2026-09-22T22:53:01Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:01Z,2026-09-22T22:53:01Z
44,theodore-christianson,Theodore Christianson,person,,Governor of Minnesota,,US,US,,,,,,published,2026-09-22T22:53:03Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:02Z,2026-09-22T22:53:03Z
45,floyd-olson,Floyd B. Olson,person,,"Hennepin County Attorney, Minnesota",,US,US,,,,,,published,2026-09-22T22:53:04Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:03Z,2026-09-22T22:53:04Z
46,franklin-d-roosevelt,Franklin D. Roosevelt,person,,President of the United States,,US,US,,,,,,published,2026-09-22T22:53:05Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:05Z,2026-09-22T22:53:05Z
47,byron-price,Byron Price,person,,"Director, United States Office of Censorship",,US,US,,,,,,published,2026-09-22T22:53:07Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:06Z,2026-09-22T22:53:07Z
48,dwight-d-eisenhower,Dwight D. Eisenhower,person,,President of the United States,,US,US,,,,,,published,2026-09-22T22:53:08Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:07Z,2026-09-22T22:53:08Z
49,james-eastland,James O. Eastland,person,,"United States Senator, chair of the Senate Internal Security Subcommittee",,US,US,,,,,,published,2026-09-22T22:53:09Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:08Z,2026-09-22T22:53:09Z
50,john-dean,John Dean,person,,Counsel to the President of the United States,,US,US,,,,,,published,2026-09-22T22:53:10Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:10Z,2026-09-22T22:53:10Z
51,daniel-schorr,Daniel Schorr,person,,"Correspondent, CBS News",,US,US,,,,,,published,2026-09-22T22:53:12Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:11Z,2026-09-22T22:53:12Z
52,mary-mcgrory,Mary McGrory,person,,"Columnist, The Washington Post",,US,US,,,,,,published,2026-09-22T22:53:13Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:13Z,2026-09-22T22:53:13Z
53,daniel-ellsberg,Daniel Ellsberg,person,,Military analyst who copied the Pentagon Papers,,US,US,,,,,,published,2026-09-22T22:53:15Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:14Z,2026-09-22T22:53:15Z
54,ronald-reagan,Ronald Reagan,person,,President of the United States,,US,US,,,,,,published,2026-09-22T22:53:16Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:15Z,2026-09-22T22:53:16Z
55,john-vessey,John W. Vessey Jr.,person,,"Chairman of the Joint Chiefs of Staff, United States",,US,US,,,,,,published,2026-09-22T22:53:17Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:16Z,2026-09-22T22:53:17Z
56,wesley-mcdonald,Wesley McDonald,person,,"Admiral, commander of United States forces in the Grenada operation",,US,US,,,,,,published,2026-09-22T22:53:18Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:18Z,2026-09-22T22:53:18Z
57,george-shultz,George Shultz,person,,United States Secretary of State,,US,US,,,,,,published,2026-09-22T22:53:20Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:19Z,2026-09-22T22:53:20Z
58,jean-claude-duvalier,Jean-Claude Duvalier,person,,President of Haiti,,HT,HT,,,,,,published,2026-09-22T22:53:21Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:21Z,2026-09-22T22:53:21Z
59,jean-dominique,Jean Dominique,person,,"Director, Radio Haiti-Inter",,HT,HT,,,,,,published,2026-09-22T22:53:22Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:22Z,2026-09-22T22:53:22Z
60,michele-montas,Michèle Montas,person,,"Journalist, Radio Haiti-Inter",,HT,HT,,,,,,published,2026-09-22T22:53:24Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:23Z,2026-09-22T22:53:24Z
61,getulio-vargas,Getúlio Vargas,person,,President of Brazil,,BR,BR,,,,,,published,2026-09-22T22:53:25Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:25Z,2026-09-22T22:53:25Z
62,dip-brazil,Departamento de Imprensa e Propaganda (DIP),body,agency,Brazilian government press and state messaging department,,BR,BR,,,,,,published,2026-09-22T22:53:27Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:26Z,2026-09-22T22:53:27Z
63,augusto-pinochet,Augusto Pinochet,person,,Commander-in-chief of the Chilean Army and head of the governing military junta,,CL,CL,,,,,,published,2026-09-22T22:53:28Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:27Z,2026-09-22T22:53:28Z
64,jorge-videla,Jorge Rafael Videla,person,,President of Argentina and head of the governing military junta,,AR,AR,,,,,,published,2026-09-22T22:53:30Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:29Z,2026-09-22T22:53:30Z
65,jacobo-timerman,Jacobo Timerman,person,,"Editor and founder, La Opinión",,AR,AR,,,,,,published,2026-09-22T22:53:31Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:30Z,2026-09-22T22:53:31Z
66,robert-cox,Robert Cox,person,,"Editor, Buenos Aires Herald",,AR,AR,,,,,,published,2026-09-22T22:53:32Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:32Z,2026-09-22T22:53:32Z
67,andrew-graham-yooll,Andrew Graham-Yooll,person,,"Journalist, Buenos Aires Herald",,AR,AR,,,,,,published,2026-09-22T22:53:34Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:33Z,2026-09-22T22:53:34Z
68,adolf-hitler,Adolf Hitler,person,,Chancellor of Germany,,DE,DE,,,,,,published,2026-09-22T22:53:35Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:35Z,2026-09-22T22:53:35Z
69,reich-press-chamber,Reich Press Chamber (Reichspressekammer),body,other,Nazi Germany's compulsory professional body for journalists,,DE,DE,,,,,,published,2026-09-22T22:53:36Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:36Z,2026-09-22T22:53:36Z
70,vladimir-lenin,Vladimir Lenin,person,,Chairman of the Council of People's Commissars of Soviet Russia/the USSR,,RU,RU,,,,,,published,2026-09-22T22:53:38Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:37Z,2026-09-22T22:53:38Z
71,glavlit,Glavlit,body,executive_office,Soviet state office overseeing printed matter and the arts,,RU,RU,,,,,,published,2026-09-22T22:53:39Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:38Z,2026-09-22T22:53:39Z
72,francisco-franco,Francisco Franco,person,,Head of State of Spain,,ES,ES,,,,,,published,2026-09-22T22:53:40Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:40Z,2026-09-22T22:53:40Z
73,antonio-salazar,António de Oliveira Salazar,person,,Prime Minister of Portugal,,PT,PT,,,,,,published,2026-09-22T22:53:41Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:41Z,2026-09-22T22:53:41Z
74,alexander-dubcek,Alexander Dubček,person,,First Secretary of the Communist Party of Czechoslovakia,,CZ,CZ,,,,,,published,2026-09-22T22:53:43Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:42Z,2026-09-22T22:53:43Z
75,wojciech-jaruzelski,Wojciech Jaruzelski,person,,First Secretary of the Polish United Workers' Party and Prime Minister of Poland,,PL,PL,,,,,,published,2026-09-22T22:53:44Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:44Z,2026-09-22T22:53:44Z
76,margaret-thatcher,Margaret Thatcher,person,,Prime Minister of the United Kingdom,,GB,GB,,,,,,published,2026-09-22T22:53:46Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:45Z,2026-09-22T22:53:46Z
77,douglas-hurd,Douglas Hurd,person,,Home Secretary of the United Kingdom,,GB,GB,,,,,,published,2026-09-22T22:53:47Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:47Z,2026-09-22T22:53:47Z
78,daniel-francois-malan,Daniel François Malan,person,,Prime Minister of South Africa,,ZA,ZA,,,,,,published,2026-09-22T22:53:49Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:48Z,2026-09-22T22:53:49Z
79,p-w-botha,P. W. Botha,person,,State President of South Africa,,ZA,ZA,,,,,,published,2026-09-22T22:53:50Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:49Z,2026-09-22T22:53:50Z
80,louis-le-grange,Louis le Grange,person,,"Minister of Law and Order, South Africa",,ZA,ZA,,,,,,published,2026-09-22T22:53:51Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:51Z,2026-09-22T22:53:51Z
81,gamal-abdel-nasser,Gamal Abdel Nasser,person,,President of Egypt,,EG,EG,,,,,,published,2026-09-22T22:53:53Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:52Z,2026-09-22T22:53:53Z
82,indira-gandhi,Indira Gandhi,person,,Prime Minister of India,,IN,IN,,,,,,published,2026-09-22T22:53:54Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:53Z,2026-09-22T22:53:54Z
83,ferdinand-marcos,Ferdinand Marcos,person,,President of the Philippines,,PH,PH,,,,,,published,2026-09-22T22:53:55Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:54Z,2026-09-22T22:53:55Z
84,teodoro-locsin-sr,Teodoro Locsin Sr.,person,,"Publisher, Philippines Free Press",,PH,PH,,,,,,published,2026-09-22T22:53:57Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:56Z,2026-09-22T22:53:57Z
85,chun-doo-hwan,Chun Doo-hwan,person,,General and de facto head of South Korea's martial-law government,,KR,KR,,,,,,published,2026-09-22T22:53:58Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:57Z,2026-09-22T22:53:58Z
86,saw-maung,Saw Maung,person,,"General, Chairman of the State Law and Order Restoration Council (SLORC)",,MM,MM,,,,,,published,2026-09-22T22:53:59Z,2026-09-22,2026-12-22,1,2026-09-22T22:53:59Z,2026-09-22T22:53:59Z
87,slorc,State Law and Order Restoration Council (SLORC),body,law_enforcement,Burma's military government from 1988,,MM,MM,,,,,,published,2026-09-22T22:54:01Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:00Z,2026-09-22T22:54:01Z
88,li-peng,Li Peng,person,,Premier of the People's Republic of China,,CN,CN,,,,,,published,2026-09-22T22:54:02Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:01Z,2026-09-22T22:54:02Z
89,john-pomfret,John Pomfret,person,,"Correspondent, Associated Press",,US,US,,,,,,published,2026-09-22T22:54:03Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:03Z,2026-09-22T22:54:03Z
90,alan-pessin,Alan W. Pessin,person,,"Correspondent, Voice of America",,US,US,,,,,,published,2026-09-22T22:54:05Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:04Z,2026-09-22T22:54:05Z
91,david-ben-gurion,David Ben-Gurion,person,,Prime Minister of Israel,,IL,IL,,,,,,published,2026-09-22T22:54:06Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:05Z,2026-09-22T22:54:06Z
92,john-curtin,John Curtin,person,,Prime Minister of Australia,,AU,AU,,,,,,published,2026-09-22T22:54:07Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:07Z,2026-09-22T22:54:07Z
93,arthur-calwell,Arthur Calwell,person,,Australian Minister for Information,,AU,AU,,,,,,published,2026-09-22T22:54:09Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:08Z,2026-09-22T22:54:09Z
94,george-hw-bush,George H. W. Bush,person,,President of the United States,,US,US,,,,,,published,2026-09-22T22:54:10Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:10Z,2026-09-22T22:54:10Z
95,pete-williams,Pete Williams,person,,Assistant Secretary of Defense for Public Affairs,,US,US,,,,,,published,2026-09-22T22:54:11Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:11Z,2026-09-22T22:54:11Z
96,dick-cheney,Dick Cheney,person,,Secretary of Defense,,US,US,,,,,,published,2026-09-22T22:54:13Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:12Z,2026-09-22T22:54:13Z
97,george-w-bush,George W. Bush,person,,President of the United States,,US,US,,,,,,published,2026-09-22T22:54:14Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:14Z,2026-09-22T22:54:14Z
98,patrick-fitzgerald,Patrick Fitzgerald,person,,"Special Counsel, U.S. Department of Justice",,US,US,,,,,,published,2026-09-22T22:54:16Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:15Z,2026-09-22T22:54:16Z
99,thomas-hogan,Thomas F. Hogan,person,,"Judge, U.S. District Court for the District of Columbia",,US,US,,,,,,published,2026-09-22T22:54:17Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:17Z,2026-09-22T22:54:17Z
100,scooter-libby,I. Lewis Libby,person,,Chief of Staff to the Vice President,,US,US,,,,,,published,2026-09-22T22:54:18Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:18Z,2026-09-22T22:54:18Z
101,judith-miller,Judith Miller,person,,"Reporter, The New York Times",,US,US,,,,,,published,2026-09-22T22:54:20Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:19Z,2026-09-22T22:54:20Z
102,chelsea-manning,Chelsea Manning,person,,U.S. Army intelligence analyst,,US,US,,,,,,published,2026-09-22T22:54:21Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:20Z,2026-09-22T22:54:21Z
103,john-kiriakou,John Kiriakou,person,,Former Central Intelligence Agency officer,,US,US,,,,,,published,2026-09-22T22:54:22Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:22Z,2026-09-22T22:54:22Z
104,neil-macbride,Neil MacBride,person,,U.S. Attorney for the Eastern District of Virginia,,US,US,,,,,,published,2026-09-22T22:54:24Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:23Z,2026-09-22T22:54:24Z
105,leonie-brinkema,Leonie Brinkema,person,,"Judge, U.S. District Court for the Eastern District of Virginia",,US,US,,,,,,published,2026-09-22T22:54:25Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:25Z,2026-09-22T22:54:25Z
106,eric-holder,Eric Holder,person,,Attorney General of the United States,,US,US,,,,,,published,2026-09-22T22:54:27Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:26Z,2026-09-22T22:54:27Z
107,gary-pruitt,Gary Pruitt,person,,"President and Chief Executive, The Associated Press",,US,US,,,,,,published,2026-09-22T22:54:28Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:28Z,2026-09-22T22:54:28Z
108,james-rosen,James Rosen,person,,"Reporter, Fox News",,US,US,,,,,,published,2026-09-22T22:54:30Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:29Z,2026-09-22T22:54:30Z
109,stephen-kim,Stephen Jin-Woo Kim,person,,State Department arms expert,,US,US,,,,,,published,2026-09-22T22:54:31Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:30Z,2026-09-22T22:54:31Z
110,james-risen,James Risen,person,,"Reporter, The New York Times",,US,US,,,,,,published,2026-09-22T22:54:32Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:32Z,2026-09-22T22:54:32Z
111,jeffrey-sterling,Jeffrey Sterling,person,,Former Central Intelligence Agency officer,,US,US,,,,,,published,2026-09-22T22:54:33Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:33Z,2026-09-22T22:54:33Z
112,sarah-sanders,Sarah Sanders,person,,White House Press Secretary,,US,US,,,,,,published,2026-09-22T22:54:35Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:34Z,2026-09-22T22:54:35Z
113,jim-acosta,Jim Acosta,person,,"Correspondent, CNN",,US,US,,,,,,published,2026-09-22T22:54:36Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:36Z,2026-09-22T22:54:36Z
114,john-demers,John Demers,person,,Assistant Attorney General for National Security,,US,US,,,,,,published,2026-09-22T22:54:38Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:37Z,2026-09-22T22:54:38Z
115,julian-assange,Julian Assange,person,,"Founder, WikiLeaks",,AU,AU,,,,,,published,2026-09-22T22:54:39Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:39Z,2026-09-22T22:54:39Z
116,sani-abacha,Sani Abacha,person,,Head of State of Nigeria,,NG,NG,,,,,,published,2026-09-22T22:54:41Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:40Z,2026-09-22T22:54:41Z
117,kunle-ajibade,Kunle Ajibade,person,,"Editor, The News magazine",,NG,NG,,,,,,published,2026-09-22T22:54:42Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:42Z,2026-09-22T22:54:42Z
118,chris-anyanwu,Chris Anyanwu,person,,"Editor-in-chief, The Sunday Magazine",,NG,NG,,,,,,published,2026-09-22T22:54:43Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:43Z,2026-09-22T22:54:43Z
119,mahathir-mohamad,Mahathir Mohamad,person,,Prime Minister of Malaysia,,MY,MY,,,,,,published,2026-09-22T22:54:45Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:44Z,2026-09-22T22:54:45Z
120,anwar-ibrahim,Anwar Ibrahim,person,,Former Deputy Prime Minister of Malaysia,,MY,MY,,,,,,published,2026-09-22T22:54:46Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:46Z,2026-09-22T22:54:46Z
121,zulkifli-sulong,Zulkifli Sulong,person,,"Editor, Harakah",,MY,MY,,,,,,published,2026-09-22T22:54:47Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:47Z,2026-09-22T22:54:47Z
122,vladimir-gusinsky,Vladimir Gusinsky,person,,"Founder, NTV",,RU,RU,,,,,,published,2026-09-22T22:55:23Z,2026-09-22,2026-12-22,1,2026-09-22T22:54:48Z,2026-09-22T22:55:23Z
123,yevgeny-kiselyov,Yevgeny Kiselyov,person,,"Managing Director, NTV",,RU,RU,,,,,,published,2026-09-22T22:55:24Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:23Z,2026-09-22T22:55:24Z
124,robert-mugabe,Robert Mugabe,person,,President of Zimbabwe,,ZW,ZW,,,,,,published,2026-09-22T22:55:25Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:25Z,2026-09-22T22:55:25Z
